id,domain,concept,definition_query,application_query,expected_answer
768,Common Nouns,bird,Define a bird.,Is a eagle a bird?,yes
769,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
770,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
771,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
772,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
773,Common Nouns,vehicle,Define a vehicle.,Is a house a vehicle?,no
774,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
775,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
776,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
777,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
778,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
779,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
780,Common Nouns,fruit,Define a fruit.,Does a rock qualify as a fruit?,no
781,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
782,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
783,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
784,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
785,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
786,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
787,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
788,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
789,Common Nouns,fruit,Define a fruit.,Does a rock qualify as a fruit?,no
790,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
791,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
792,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
793,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
794,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
795,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
796,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
797,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
798,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
799,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
800,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
801,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
802,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
803,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
804,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
805,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
806,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
807,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
808,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
809,Common Nouns,vehicle,Define a vehicle.,Does a car qualify as a vehicle?,yes
810,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
811,Common Nouns,vehicle,Define a vehicle.,Does a bus qualify as a vehicle?,yes
812,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
813,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
814,Common Nouns,vehicle,Define a vehicle.,Does a bus qualify as a vehicle?,yes
815,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
816,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
817,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
818,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
819,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
820,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
821,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
822,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
823,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
824,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
825,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
826,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
827,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
828,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
829,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
830,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
831,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
832,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
833,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
834,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
835,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
836,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
837,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
838,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
839,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
840,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
841,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
842,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
843,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
844,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
845,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
846,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
847,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
848,Common Nouns,bird,Define a bird.,Is a eagle a bird?,yes
849,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
850,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
851,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
852,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
853,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
854,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
855,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
856,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
857,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
858,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
859,Common Nouns,vehicle,Define a vehicle.,Does a car qualify as a vehicle?,yes
860,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
861,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
862,Common Nouns,vehicle,Define a vehicle.,Is a car a vehicle?,yes
863,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
864,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
865,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
866,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
867,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
868,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
869,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
870,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
871,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
872,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
873,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
874,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
875,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
876,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
877,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
878,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
879,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
880,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
881,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
882,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
883,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
884,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
885,Common Nouns,vehicle,Define a vehicle.,Is a house a vehicle?,no
886,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
887,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
888,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
889,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
890,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
891,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
892,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
893,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
894,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
895,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
896,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
897,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
898,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
899,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
900,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
901,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
902,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
903,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
904,Common Nouns,bird,Define a bird.,Is a cat a bird?,no
905,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
906,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
907,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
908,Common Nouns,fruit,Define a fruit.,Does a rock qualify as a fruit?,no
909,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
910,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
911,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
912,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
913,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
914,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
915,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
916,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
917,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
918,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
919,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
920,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
921,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
922,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
923,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
924,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
925,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
926,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
927,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
928,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
929,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
930,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
931,Common Nouns,bird,Define a bird.,Does a sparrow qualify as a bird?,yes
932,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
933,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
934,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
935,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
936,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
937,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
938,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
939,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
940,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
941,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
942,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
943,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
944,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
945,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
946,Common Nouns,fruit,Define a fruit.,Is a chair a fruit?,no
947,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
948,Common Nouns,bird,Define a bird.,Is a cat a bird?,no
949,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
950,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
951,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
952,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
953,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
954,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
955,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
956,Common Nouns,vehicle,Define a vehicle.,Is a car a vehicle?,yes
957,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
958,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
959,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
960,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
961,Common Nouns,vehicle,Define a vehicle.,Is a bus a vehicle?,yes
962,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
963,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
964,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
965,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
966,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
967,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
968,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
969,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
970,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
971,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
972,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
973,Common Nouns,vehicle,Define a vehicle.,Is a house a vehicle?,no
974,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
975,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
976,Common Nouns,vehicle,Define a vehicle.,Is a car a vehicle?,yes
977,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
978,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
979,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
980,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
981,Common Nouns,bird,Define a bird.,Is a lizard a bird?,no
982,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
983,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
984,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
985,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
986,Common Nouns,bird,Define a bird.,Does a sparrow qualify as a bird?,yes
987,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
988,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
989,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
990,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
991,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
992,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
993,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
994,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
995,Common Nouns,fruit,Define a fruit.,Is a chair a fruit?,no
996,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
997,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
998,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
999,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
1000,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1001,Common Nouns,bird,Define a bird.,Is a cat a bird?,no
1002,Common Nouns,vehicle,Define a vehicle.,Does a tree qualify as a vehicle?,no
1003,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
1004,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1005,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
1006,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1007,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
1008,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
1009,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
1010,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
1011,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
1012,Common Nouns,bird,Define a bird.,Is a cat a bird?,no
1013,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
1014,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
1015,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
1016,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
1017,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
1018,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
1019,Common Nouns,vehicle,Define a vehicle.,Does a bus qualify as a vehicle?,yes
1020,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
1021,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
1022,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
1023,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
1024,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
1025,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
1026,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
1027,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
1028,Common Nouns,bird,Define a bird.,Is a eagle a bird?,yes
1029,Common Nouns,fruit,Define a fruit.,Is a chair a fruit?,no
1030,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
1031,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
1032,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
1033,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
1034,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
1035,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1036,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
1037,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
1038,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
1039,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
1040,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
1041,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
1042,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
1043,Common Nouns,vehicle,Define a vehicle.,Is a house a vehicle?,no
1044,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
1045,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
1046,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
1047,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
1048,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
1049,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
1050,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
1051,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1052,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1053,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
1054,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
1055,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
1056,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
1057,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
1058,Common Nouns,fruit,Define a fruit.,Is a chair a fruit?,no
1059,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
1060,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
1061,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1062,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
1063,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
1064,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
1065,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
1066,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
1067,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
1068,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
1069,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
1070,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
1071,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
1072,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
1073,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
1074,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
1075,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
1076,Common Nouns,vehicle,Define a vehicle.,Is a house a vehicle?,no
1077,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
1078,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
1079,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
1080,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
1081,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1082,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
1083,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
1084,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
1085,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
1086,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1087,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1088,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
1089,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1090,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
1091,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1092,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
1093,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
1094,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1095,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
1096,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
1097,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
1098,Common Nouns,bird,Define a bird.,Is a cat a bird?,no
1099,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1100,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
1101,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
1102,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
1103,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
1104,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
1105,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
1106,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
1107,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
1108,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
1109,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
1110,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
1111,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
1112,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
1113,Common Nouns,vehicle,Define a vehicle.,Is a car a vehicle?,yes
1114,Scientific Concepts,mammal,Define a mammal.,Does a frog qualify as a mammal?,no
1115,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
1116,Common Nouns,vehicle,Define a vehicle.,Is a house a vehicle?,no
1117,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
1118,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
1119,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
1120,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
1121,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
