id,domain,concept,definition_query,application_query,expected_answer
2435,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
2436,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
2437,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
2438,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
2439,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
2440,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
2441,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
2442,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
2443,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
2444,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
2445,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
2446,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
2447,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
2448,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
2449,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
2450,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
2451,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
2452,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
2453,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
2454,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
2455,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
2456,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
2457,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
2458,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
2459,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
2460,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
2461,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
2462,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
2463,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
2464,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
2465,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
2466,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
2467,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
2468,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
2469,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
2470,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
2471,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
2472,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
2473,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
2474,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
2475,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
2476,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
2477,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
2478,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
2479,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
2480,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
2481,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
2482,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
2483,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
2484,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
2485,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
2486,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
2487,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
2488,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
2489,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
2490,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
2491,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
2492,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
2493,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
2494,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
2495,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
2496,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
2497,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
2498,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
2499,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
2500,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
2501,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
2502,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
2503,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
2504,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
2505,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
2506,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
2507,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",no
2508,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
2509,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
2510,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
2511,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
2512,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
2513,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
2514,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
2515,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
2516,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
2517,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
2518,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
2519,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
2520,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
2521,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
2522,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
2523,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
2524,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
2525,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
2526,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
2527,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
2528,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
2529,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
2530,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
2531,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
2532,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
2533,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",no
2534,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
2535,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
2536,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
2537,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
2538,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
2539,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
2540,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
2541,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
2542,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
2543,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
2544,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
2545,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
2546,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
2547,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
2548,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
2549,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
2550,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
2551,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
2552,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
2553,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
2554,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
2555,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
2556,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
2557,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
2558,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
2559,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
2560,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
2561,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
2562,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
2563,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
2564,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
2565,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
2566,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
2567,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
2568,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
2569,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",no
2570,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
2571,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
2572,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
2573,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
2574,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
2575,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
2576,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
2577,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
2578,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",no
2579,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
2580,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
2581,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
2582,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
2583,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
2584,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
2585,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
2586,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
2587,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
2588,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
2589,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
2590,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
2591,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
2592,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
2593,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
2594,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
2595,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
2596,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
2597,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
2598,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
2599,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
2600,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
2601,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
2602,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
2603,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
2604,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
2605,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
2606,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
2607,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
2608,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
2609,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
2610,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
2611,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
2612,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",yes
2613,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
2614,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
2615,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
2616,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
2617,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
2618,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
2619,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
2620,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
2621,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
2622,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
2623,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
2624,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
2625,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
2626,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
2627,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
2628,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
2629,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
2630,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
2631,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
2632,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
2633,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
2634,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
2635,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
2636,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
2637,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
2638,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
2639,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
2640,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
2641,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
2642,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
2643,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
2644,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
2645,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
2646,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
2647,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
2648,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
2649,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
2650,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
2651,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
2652,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
2653,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
2654,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
2655,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
2656,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
2657,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
2658,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
2659,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
2660,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
2661,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
2662,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
2663,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
2664,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
2665,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
2666,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
2667,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
2668,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
2669,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
2670,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
2671,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
2672,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
2673,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
2674,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
2675,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
2676,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
2677,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
2678,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
2679,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
2680,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
2681,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
2682,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
2683,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
2684,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
2685,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
2686,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",yes
2687,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
2688,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
2689,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
2690,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
2691,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
2692,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
2693,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
2694,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
2695,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
2696,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
2697,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
2698,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
2699,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
2700,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
2701,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
2702,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
2703,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
2704,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
2705,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
2706,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
2707,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
2708,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",no
2709,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
2710,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
2711,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
2712,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
2713,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
2714,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
2715,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
2716,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
2717,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
2718,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
2719,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
2720,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
2721,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
2722,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
2723,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
2724,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
2725,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
2726,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
2727,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
2728,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
2729,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
2730,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
2731,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
